latitude,longitude,elevation
51.990047,-9.74893673,423.8070983886719
51.990047,-9.7490828,426.2284545898438
51.990047,-9.74922887,428.5684814453125
51.990047,-9.74937494,430.9085083007812
51.990047,-9.74952101,433.24853515625
51.990047,-9.74966708,435.5885620117188
51.990047,-9.74981315,438.89892578125
51.990047,-9.749959220000001,442.2999572753906
51.990047,-9.75010529,445.7009887695312
51.990047,-9.75025136,449.1020202636719
51.990047,-9.75039743,452.5939636230469
51.990047,-9.7505435,456.4204711914062
51.990047,-9.75068957,460.2469482421875
51.990047,-9.75083564,464.0734558105469
51.990047,-9.75098171,467.8999328613281
51.990047,-9.751127780000001,471.7271118164062
51.990047,-9.75127385,475.554931640625
51.990047,-9.75141992,479.3827514648438
51.990047,-9.75156599,483.2105712890625
51.990047,-9.75171206,487.0383605957031
